consumers,data,replicate,time
2,10,1,1.776244878768921
2,10,2,1.885138988494873
2,10,3,1.823227882385254
2,10,4,1.9774367809295654
4,10,1,1.7239480018615723
4,10,2,1.806704044342041
4,10,3,1.8910608291625977
4,10,4,2.474792003631592
6,10,1,1.9563450813293457
6,10,2,1.785749912261963
6,10,3,1.8333239555358887
6,10,4,1.823091983795166
8,10,1,1.9137089252471924
8,10,2,1.7989718914031982
8,10,3,2.0242109298706055
8,10,4,1.9470419883728027
10,10,1,1.8929810523986816
10,10,2,1.909062147140503
10,10,3,1.8089239597320557
10,10,4,1.9994511604309082
12,10,1,1.8893179893493652
12,10,2,1.8843128681182861
12,10,3,2.038784980773926
12,10,4,2.314901828765869
2,100,1,6.301265001296997
2,100,2,6.385746002197266
2,100,3,6.7623138427734375
2,100,4,6.022616147994995
4,100,1,6.287934064865112
4,100,2,6.204622983932495
4,100,3,6.368505954742432
4,100,4,6.417048931121826
6,100,1,6.576007843017578
6,100,2,7.0998170375823975
6,100,3,6.047947883605957
6,100,4,6.317333936691284
8,100,1,6.428763151168823
8,100,2,6.894728183746338
8,100,3,6.496798038482666
8,100,4,6.801398992538452
10,100,1,6.41939115524292
10,100,2,6.370449066162109
10,100,3,6.2146711349487305
10,100,4,6.562943935394287
12,100,1,6.637585163116455
12,100,2,6.71114706993103
12,100,3,5.96321702003479
12,100,4,7.051102876663208
2,1000,1,49.00725317001343
2,1000,2,51.03129196166992
2,1000,3,49.625020027160645
2,1000,4,51.03501510620117
4,1000,1,50.66558599472046
4,1000,2,50.72628593444824
4,1000,3,49.06633114814758
4,1000,4,52.5703809261322
6,1000,1,50.85352611541748
6,1000,2,52.265053033828735
6,1000,3,50.36237597465515
6,1000,4,52.1167151927948
8,1000,1,51.992512941360474
8,1000,2,51.85362696647644
8,1000,3,51.07061314582825
8,1000,4,52.12867498397827
10,1000,1,52.089909076690674
10,1000,2,51.08522391319275
10,1000,3,52.10258603096008
10,1000,4,49.50895404815674
12,1000,1,50.22316288948059
12,1000,2,51.15449380874634
12,1000,3,52.12700581550598
12,1000,4,50.38996887207031
2,3000,1,150.16751289367676
2,3000,2,150.87253785133362
2,3000,3,150.01549911499023
2,3000,4,149.22041988372803
4,3000,1,149.1232569217682
4,3000,2,149.46990704536438
4,3000,3,151.1782510280609
4,3000,4,150.36982607841492
6,3000,1,150.464497089386
6,3000,2,151.48155093193054
6,3000,3,151.59488701820374
6,3000,4,151.32934999465942
8,3000,1,149.0129108428955
8,3000,2,148.92374300956726
8,3000,3,148.427481174469
8,3000,4,150.537926197052
10,3000,1,150.93472599983215
10,3000,2,150.9277970790863
10,3000,3,150.0204050540924
10,3000,4,150.30983710289001
12,3000,1,149.91846680641174
12,3000,2,149.78573489189148
12,3000,3,149.62416410446167
12,3000,4,149.3625259399414
2,5000,1,249.44504714012146
2,5000,2,248.30291414260864
2,5000,3,246.34374403953552
2,5000,4,248.3360960483551
4,5000,1,250.16016006469727
4,5000,2,250.51012516021729
4,5000,3,247.0820231437683
4,5000,4,250.67881417274475
6,5000,1,249.3120720386505
6,5000,2,243.53807306289673
6,5000,3,252.78596377372742
6,5000,4,251.48237705230713
8,5000,1,251.3976411819458
8,5000,2,250.94580912590027
8,5000,3,246.35569095611572
8,5000,4,252.3399782180786
10,5000,1,251.2640769481659
10,5000,2,247.78695106506348
10,5000,3,249.37149381637573
10,5000,4,247.51646304130554
12,5000,1,249.78362393379211
12,5000,2,249.49272298812866
12,5000,3,248.61648797988892
12,5000,4,250.24876022338867
2,7000,1,347.5263991355896
2,7000,2,348.4670219421387
2,7000,3,351.9654769897461
2,7000,4,344.1104748249054
4,7000,1,343.9968931674957
4,7000,2,347.27587699890137
4,7000,3,348.14251804351807
4,7000,4,347.0051169395447
6,7000,1,344.38746094703674
6,7000,2,348.0814390182495
6,7000,3,347.24806785583496
6,7000,4,350.00417613983154
8,7000,1,350.8795099258423
8,7000,2,351.04922890663147
8,7000,3,353.4711298942566
8,7000,4,350.6984748840332
10,7000,1,351.6841850280762
10,7000,2,349.17403984069824
10,7000,3,349.4385781288147
10,7000,4,349.1134819984436
12,7000,1,348.4490249156952
12,7000,2,350.33836603164673
12,7000,3,350.7850909233093
12,7000,4,345.2415990829468
2,10000,1,499.33887791633606
2,10000,2,496.6650810241699
2,10000,3,491.3360159397125
2,10000,4,494.42924189567566
4,10000,1,498.02535104751587
4,10000,2,500.5829601287842
4,10000,3,495.4079918861389
4,10000,4,497.7305200099945
6,10000,1,496.95478796958923
6,10000,2,496.39494800567627
6,10000,3,499.32628893852234
6,10000,4,503.68019914627075
8,10000,1,493.76381397247314
8,10000,2,501.11082315444946
8,10000,3,495.58398389816284
8,10000,4,497.4805381298065
10,10000,1,495.2724940776825
10,10000,2,498.2643060684204
10,10000,3,497.9484179019928
10,10000,4,493.8477690219879
12,10000,1,500.6862609386444
12,10000,2,499.9688370227814
12,10000,3,499.3519380092621
12,10000,4,502.8125560283661
