consumers,data,replicate,time
2,10,1,1.726902961730957
2,10,2,1.4802069664001465
2,10,3,1.3522179126739502
4,10,1,1.355633020401001
4,10,2,1.274885892868042
4,10,3,1.3759338855743408
6,10,1,1.4694039821624756
6,10,2,1.4040980339050293
6,10,3,1.346254825592041
8,10,1,1.4828259944915771
8,10,2,1.24627685546875
8,10,3,1.2994489669799805
2,100,1,6.021504163742065
2,100,2,6.248600959777832
2,100,3,5.871528148651123
4,100,1,5.688655138015747
4,100,2,6.299023151397705
4,100,3,5.587555885314941
6,100,1,6.319868803024292
6,100,2,5.605855941772461
6,100,3,6.154772996902466
8,100,1,5.963956117630005
8,100,2,5.809376001358032
8,100,3,5.9324657917022705
2,1000,1,52.00343203544617
2,1000,2,53.06069993972778
2,1000,3,52.80801200866699
4,1000,1,51.16336417198181
4,1000,2,51.493513107299805
4,1000,3,51.063753843307495
6,1000,1,51.68250584602356
6,1000,2,50.44998788833618
6,1000,3,52.18109202384949
8,1000,1,52.60635185241699
8,1000,2,51.12793803215027
8,1000,3,50.55536103248596
2,10000,1,604.9671211242676
2,10000,2,502.93029403686523
2,10000,3,511.7072608470917
4,10000,1,504.95809602737427
4,10000,2,502.3694920539856
4,10000,3,502.888916015625
6,10000,1,504.83939814567566
6,10000,2,499.38801407814026
6,10000,3,502.8491220474243
8,10000,1,500.7897779941559
8,10000,2,507.5474500656128
8,10000,3,504.3252739906311
