Round Robin,Priority,Preemptive
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,65,5,2,2,1974,1908,0,1973
102,35,3,7,52,86,45,45,80
103,40,8,34,87,1994,1921,53,1961
104,62,1,62,107,168,45,45,107
105,42,1,74,169,210,95,95,137
106,52,7,93,211,2016,1872,118,1924
107,70,1,102,241,310,139,139,209
108,89,5,160,311,2055,1807,151,1896
109,62,5,193,361,2067,1813,168,1875
110,87,3,218,411,2084,1780,193,1867
111,28,2,237,481,508,244,244,272
112,22,2,271,509,530,238,238,260
113,29,2,276,531,559,255,255,284
114,95,6,306,560,2442,2042,254,2137
115,92,6,332,600,2454,2031,268,2123
116,41,4,352,640,680,288,288,329
117,51,5,401,681,2165,1714,280,1765
118,64,6,444,731,2189,1682,287,1746
119,21,4,466,771,791,305,305,326
120,93,3,473,792,2212,1647,319,1740
121,27,2,524,862,888,338,338,365
122,10,6,536,889,898,353,353,363
123,81,0,598,899,979,301,301,382
124,68,8,655,980,2516,1794,325,1862
125,30,4,710,1000,1029,290,290,320
126,82,6,756,1030,2476,1639,274,1721
127,54,2,758,1070,1123,312,312,366
128,13,6,800,1124,1136,324,324,337
129,40,6,851,1137,1176,286,286,326
130,41,9,900,1177,2557,1617,277,1658
131,39,6,912,1187,1225,275,275,314
132,43,5,980,1226,1268,246,246,289
133,67,3,989,1269,1335,280,280,347
134,51,6,1007,1336,2293,1236,329,1287
135,92,2,1055,1376,2305,1159,321,1251
136,63,2,1111,1456,1518,345,345,408
137,5,7,1113,1519,1523,406,406,411
138,69,7,1124,1524,2495,1303,400,1372
139,58,4,1136,1554,1611,418,418,476
140,55,0,1188,1612,1666,424,424,479
141,8,8,1237,1667,1674,430,430,438
142,37,5,1255,1675,1711,420,420,457
143,9,2,1259,1712,1720,453,453,462
144,38,1,1317,1721,1758,404,404,442
145,93,6,1354,1759,2508,1062,405,1155
146,81,3,1397,1799,2386,909,402,990
147,3,6,1403,1869,1871,466,466,469
148,8,8,1458,1872,1879,414,414,422
149,96,7,1521,1880,2563,947,359,1043
150,61,5,1569,1910,2427,798,341,859
,,,,,,,,
,,,,,Min,45,0,80
,,,,,Mean,830.40,287.26,881.64
,,,,,Max,2042,466,2137
,,,,,StdDev,677.42,113.92,693.17
