Priority Weighted,,Preemptive
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
201,8,2,20,20,27,0,0,8
202,66,3,83,83,358,210,0,276
203,92,4,104,473,564,369,369,461
204,93,2,134,134,226,0,0,93
205,46,2,139,227,272,88,88,134
206,71,2,185,273,343,88,88,159
207,44,3,191,359,472,238,168,282
208,38,5,213,1939,1976,1726,1726,1764
209,62,5,227,1977,2038,1750,1750,1812
210,88,5,292,2039,2126,1747,1747,1835
211,81,9,358,2734,2814,2376,2376,2457
212,70,2,367,367,436,0,0,70
213,82,4,404,565,672,187,161,269
214,62,4,423,1330,1391,907,907,969
215,1,4,492,1392,1392,900,900,901
216,70,4,551,1393,1554,934,842,1004
217,72,8,552,2558,2629,2006,2006,2078
218,45,6,612,2169,2213,1557,1557,1602
219,26,2,613,613,638,0,0,26
220,81,1,673,673,933,180,0,261
221,52,1,687,934,985,247,247,299
222,87,0,695,695,781,0,0,87
223,62,1,721,986,1047,265,265,327
224,50,4,745,1555,1604,810,810,860
225,93,0,767,782,874,15,15,108
226,95,9,798,2815,2909,2017,2017,2112
227,36,7,834,2342,2377,1508,1508,1544
228,60,6,883,2214,2273,1331,1331,1391
229,75,2,906,1048,1231,251,142,326
230,13,7,935,2378,2390,1443,1443,1456
231,3,9,969,2910,2912,1941,1941,1944
232,91,4,1032,1605,1695,573,573,664
233,46,1,1068,1068,1113,0,0,46
234,89,4,1082,1696,1869,699,614,788
235,68,3,1121,1232,1310,122,111,190
236,63,1,1141,1141,1203,0,0,63
237,3,8,1205,2630,2632,1425,1425,1428
238,11,2,1255,1255,1265,0,0,11
239,19,3,1305,1311,1329,6,6,25
240,79,8,1347,2633,2711,1286,1286,1365
241,65,7,1414,2391,2455,977,977,1042
242,92,2,1458,1458,1549,0,0,92
243,3,7,1486,2456,2458,970,970,973
244,22,8,1554,2712,2733,1158,1158,1180
245,99,7,1623,2459,2557,836,836,935
246,69,4,1654,1870,1938,216,216,285
247,1,6,1676,2274,2274,598,598,599
248,67,6,1683,2275,2341,592,592,659
249,42,5,1733,2127,2168,394,394,436
250,85,1,1758,1758,1842,0,0,85
,,,,,,,,
,,,,,Min,0,0,8
,,,,,Mean,698.86,683.20,755.62
,,,,,Max,2376,2376,2457
,,,,,StdDev,696.46,705.88,693.80
