Shortest job first,Priority,Preemptive
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
201,8,2,20,20,27,0,0,8
202,66,3,83,83,148,0,0,66
203,92,4,104,2349,2440,2245,2245,2337
204,93,2,134,2533,2625,2399,2399,2492
205,46,2,139,149,194,10,10,56
206,71,2,185,339,409,154,154,225
207,44,3,191,195,238,4,4,48
208,38,5,213,239,276,26,26,64
209,62,5,227,277,338,50,50,112
210,88,5,292,2081,2168,1789,1789,1877
211,81,9,358,543,1112,674,185,755
212,70,2,367,410,479,43,43,113
213,82,4,404,1648,1908,1423,1244,1505
214,62,4,423,480,542,58,57,120
215,1,4,492,492,492,0,0,1
216,70,4,551,551,620,0,0,70
217,72,8,552,965,1039,416,413,488
218,45,6,612,647,691,35,35,80
219,26,2,613,621,646,8,8,34
220,81,1,673,1545,1647,894,872,975
221,52,1,687,692,743,5,5,57
222,87,0,695,1994,2080,1299,1299,1386
223,62,1,721,744,855,73,23,135
224,50,4,745,745,794,0,0,50
225,93,0,767,2626,2718,1859,1859,1952
226,95,9,798,2719,2813,1921,1921,2016
227,36,7,834,856,891,22,22,58
228,60,6,883,892,964,22,9,82
229,75,2,906,1304,1397,417,398,492
230,13,7,935,935,947,0,0,13
231,3,9,969,969,971,0,0,3
232,91,4,1032,2258,2348,1226,1226,1317
233,46,1,1068,1113,1158,45,45,91
234,89,4,1082,2169,2257,1087,1087,1176
235,68,3,1121,1225,1303,115,104,183
236,63,1,1141,1159,1224,21,18,84
237,3,8,1205,1205,1207,0,0,3
238,11,2,1255,1255,1265,0,0,11
239,19,3,1305,1305,1323,0,0,19
240,79,8,1347,1398,1476,51,51,130
241,65,7,1414,1477,1544,66,63,131
242,92,2,1458,2441,2532,983,983,1075
243,3,7,1486,1486,1488,0,0,3
244,22,8,1554,1554,1575,0,0,22
245,99,7,1623,2814,2912,1191,1191,1290
246,69,4,1654,1654,1723,1,0,70
247,1,6,1676,1676,1676,0,0,1
248,67,6,1683,1724,1832,83,41,150
249,42,5,1733,1733,1774,0,0,42
250,85,1,1758,1909,1993,151,151,236
,,,,,,,,
,,,,,Min,0,0,1
,,,,,Mean,417.32,400.60,474.08
,,,,,Max,2399,2399,2492
,,,,,StdDev,683.75,679.50,703.86
