Shortest job first,Priority,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
201,8,2,20,20,27,0,0,8
202,66,3,83,83,148,0,0,66
203,92,4,104,2349,2440,2245,2245,2337
204,93,2,134,2533,2625,2399,2399,2492
205,46,2,139,149,194,10,10,56
206,71,2,185,339,409,154,154,225
207,44,3,191,195,238,4,4,48
208,38,5,213,239,276,26,26,64
209,62,5,227,277,338,50,50,112
210,88,5,292,2081,2168,1789,1789,1877
211,81,9,358,543,623,185,185,266
212,70,2,367,410,479,43,43,113
213,82,4,404,1648,1729,1244,1244,1326
214,62,4,423,480,541,57,57,119
215,1,4,492,542,542,50,50,51
216,70,4,551,968,1037,417,417,487
217,72,8,552,1041,1112,489,489,561
218,45,6,612,650,694,38,38,83
219,26,2,613,624,649,11,11,37
220,81,1,673,1545,1625,872,872,953
221,52,1,687,695,746,8,8,60
222,87,0,695,1994,2080,1299,1299,1386
223,62,1,721,797,858,76,76,138
224,50,4,745,747,796,2,2,52
225,93,0,767,2626,2718,1859,1859,1952
226,95,9,798,2719,2813,1921,1921,2016
227,36,7,834,859,894,25,25,61
228,60,6,883,895,954,12,12,72
229,75,2,906,1304,1378,398,398,473
230,13,7,935,955,967,20,20,33
231,3,9,969,1038,1040,69,69,72
232,91,4,1032,2258,2348,1226,1226,1317
233,46,1,1068,1113,1158,45,45,91
234,89,4,1082,2169,2257,1087,1087,1176
235,68,3,1121,1225,1292,104,104,172
236,63,1,1141,1159,1221,18,18,81
237,3,8,1205,1222,1224,17,17,20
238,11,2,1255,1293,1303,38,38,49
239,19,3,1305,1379,1397,74,74,93
240,79,8,1347,1398,1476,51,51,130
241,65,7,1414,1477,1541,63,63,128
242,92,2,1458,2441,2532,983,983,1075
243,3,7,1486,1542,1544,56,56,59
244,22,8,1554,1626,1647,72,72,94
245,99,7,1623,2814,2912,1191,1191,1290
246,69,4,1654,1840,1908,186,186,255
247,1,6,1676,1730,1730,54,54,55
248,67,6,1683,1731,1797,48,48,115
249,42,5,1733,1798,1839,65,65,107
250,85,1,1758,1909,1993,151,151,236
,,,,,,,,
,,,,,Min,0,0,8
,,,,,Mean,426.02,426.02,482.78
,,,,,Max,2399,2399,2492
,,,,,StdDev,668.35,668.35,687.97
