Shortest job first,,Preemptive
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
251,16,6,20,20,35,0,0,16
252,49,7,80,80,128,0,0,49
253,35,1,101,129,163,28,28,63
254,82,5,155,164,265,29,9,111
255,20,3,213,213,232,0,0,20
256,43,6,282,282,324,0,0,43
257,25,8,322,325,349,3,3,28
258,76,4,342,350,480,63,8,139
259,55,2,360,360,414,0,0,55
260,84,2,415,496,610,112,81,196
261,15,1,467,481,495,14,14,29
262,20,0,525,525,544,0,0,20
263,11,3,558,558,568,0,0,11
264,74,7,584,611,738,81,27,155
265,34,2,615,615,648,0,0,34
266,20,5,652,652,671,0,0,20
267,84,6,714,739,860,63,25,147
268,38,8,757,757,794,0,0,38
269,86,1,781,1310,1395,529,529,615
270,52,7,829,861,912,32,32,84
271,55,1,877,913,967,36,36,91
272,65,6,912,1116,1184,208,204,273
273,36,6,946,968,1003,22,22,58
274,32,2,984,1004,1052,37,20,69
275,17,0,1008,1008,1024,0,0,17
276,80,7,1048,1185,1265,138,137,218
277,58,7,1050,1053,1115,8,3,66
278,5,1,1104,1104,1108,0,0,5
279,4,7,1170,1170,1173,0,0,4
280,99,6,1227,2173,2271,946,946,1045
281,44,7,1229,1266,1309,37,37,81
282,1,8,1253,1253,1253,0,0,1
283,86,2,1310,1829,1986,591,519,677
284,33,5,1371,1396,1428,25,25,58
285,36,7,1382,1429,1488,71,47,107
286,73,1,1413,1659,1828,343,246,416
287,10,5,1443,1443,1452,0,0,10
288,14,7,1460,1460,1473,0,0,14
289,64,7,1489,1489,1553,1,0,65
290,91,2,1499,1987,2077,488,488,579
291,1,1,1515,1515,1515,0,0,1
292,70,7,1548,1554,1623,6,6,76
293,95,2,1570,2078,2172,508,508,603
294,35,6,1614,1624,1658,10,10,45
295,29,3,1673,1673,1701,0,0,29
296,22,3,1685,1702,1723,17,17,39
297,12,1,1729,1729,1740,0,0,12
298,33,3,1734,1741,1773,7,7,40
299,1,9,1800,1800,1800,0,0,1
300,72,6,1832,1832,1903,0,0,72
,,,,,,,,
,,,,,Min,0,0,1
,,,,,Mean,89.06,80.68,132.90
,,,,,Max,946,946,1045
,,,,,StdDev,194.00,189.13,213.97
