Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
251,16,6,20,20,35,0,0,16
252,49,7,80,80,128,0,0,49
253,35,1,101,129,163,28,28,63
254,82,5,155,164,245,9,9,91
255,20,3,213,246,265,33,33,53
256,43,6,282,282,324,0,0,43
257,25,8,322,325,349,3,3,28
258,76,4,342,350,425,8,8,84
259,55,2,360,426,480,66,66,121
260,84,2,415,496,579,81,81,165
261,15,1,467,481,495,14,14,29
262,20,0,525,591,610,66,66,86
263,11,3,558,580,590,22,22,33
264,74,7,584,611,684,27,27,101
265,34,2,615,705,738,90,90,124
266,20,5,652,685,704,33,33,53
267,84,6,714,739,822,25,25,109
268,38,8,757,823,860,66,66,104
269,86,1,781,1310,1395,529,529,615
270,52,7,829,861,912,32,32,84
271,55,1,877,913,967,36,36,91
272,65,6,912,1116,1180,204,204,269
273,36,6,946,968,1003,22,22,58
274,32,2,984,1004,1035,20,20,52
275,17,0,1008,1036,1052,28,28,45
276,80,7,1048,1185,1264,137,137,217
277,58,7,1050,1053,1110,3,3,61
278,5,1,1104,1111,1115,7,7,12
279,4,7,1170,1181,1184,11,11,15
280,99,6,1227,2173,2271,946,946,1045
281,44,7,1229,1266,1309,37,37,81
282,1,8,1253,1265,1265,12,12,13
283,86,2,1310,1829,1914,519,519,605
284,33,5,1371,1396,1428,25,25,58
285,36,7,1382,1429,1464,47,47,83
286,73,1,1413,1659,1731,246,246,319
287,10,5,1443,1465,1474,22,22,32
288,14,7,1460,1475,1488,15,15,29
289,64,7,1489,1489,1552,0,0,64
290,91,2,1499,1987,2077,488,488,579
291,1,1,1515,1553,1553,38,38,39
292,70,7,1548,1554,1623,6,6,76
293,95,2,1570,2078,2172,508,508,603
294,35,6,1614,1624,1658,10,10,45
295,29,3,1673,1766,1794,93,93,122
296,22,3,1685,1744,1765,59,59,81
297,12,1,1729,1732,1743,3,3,15
298,33,3,1734,1795,1827,61,61,94
299,1,9,1800,1828,1828,28,28,29
300,72,6,1832,1915,1986,83,83,155
,,,,,,,,
,,,,,Min,0,0,12
,,,,,Mean,96.92,96.92,140.76
,,,,,Max,946,946,1045
,,,,,StdDev,183.99,183.99,202.56
