First come first serve,Priority,Preemptive
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
351,92,9,35,35,126,0,0,92
352,44,3,96,127,170,31,31,75
353,32,1,124,171,202,47,47,79
354,76,7,140,203,278,63,63,139
355,38,7,206,279,316,73,73,111
356,24,3,263,317,340,54,54,78
357,89,3,278,341,429,63,63,152
358,45,4,283,430,474,147,147,192
359,9,0,295,475,483,180,180,189
360,63,7,299,484,546,185,185,248
361,81,6,317,547,627,230,230,311
362,99,8,367,628,726,261,261,360
363,83,9,427,727,809,300,300,383
364,19,6,489,810,828,321,321,340
365,12,1,527,829,840,302,302,314
366,86,0,562,841,926,279,279,365
367,86,0,562,927,1012,365,365,451
368,17,1,593,1013,1029,420,420,437
369,30,8,662,1030,1059,368,368,398
370,12,0,681,1060,1071,379,379,391
371,30,8,688,1072,1101,384,384,414
372,47,9,752,1102,1148,350,350,397
373,76,0,761,1149,1224,388,388,464
374,12,2,817,1225,1236,408,408,420
375,95,7,871,1237,1331,366,366,461
376,99,3,926,1332,1430,406,406,505
377,24,1,953,1431,1454,478,478,502
378,54,4,971,1455,1508,484,484,538
379,90,8,999,1509,1598,510,510,600
380,86,1,1000,1599,1684,599,599,685
381,45,5,1016,1685,1729,669,669,714
382,49,2,1019,1730,1778,711,711,760
383,48,0,1085,1779,1826,694,694,742
384,66,1,1093,1827,1892,734,734,800
385,74,1,1139,1893,1966,754,754,828
386,98,0,1141,1967,2064,826,826,924
387,4,3,1177,2065,2068,888,888,892
388,7,3,1210,2069,2075,859,859,866
389,38,9,1258,2076,2113,818,818,856
390,74,2,1299,2114,2187,815,815,889
391,90,5,1318,2188,2277,870,870,960
392,49,5,1332,2278,2326,946,946,995
393,63,4,1374,2327,2389,953,953,1016
394,75,3,1389,2390,2464,1001,1001,1076
395,15,8,1389,2465,2479,1076,1076,1091
396,79,2,1454,2480,2558,1026,1026,1105
397,32,0,1491,2559,2590,1068,1068,1100
398,93,6,1540,2591,2683,1051,1051,1144
399,50,3,1592,2684,2733,1092,1092,1142
400,29,3,1594,2734,2762,1140,1140,1169
,,,,,,,,
,,,,,Min,0,0,75
,,,,,Mean,528.64,528.64,583.20
,,,,,Max,1140,1140,1169
,,,,,StdDev,343.08,343.08,343.53
