Priority Weighted,Priority,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
351,92,9,35,35,126,0,0,92
352,44,3,96,159,202,63,63,107
353,32,1,124,127,158,3,3,35
354,76,7,140,203,278,63,63,139
355,38,7,206,558,595,352,352,390
356,24,3,263,279,302,16,16,40
357,89,3,278,312,400,34,34,123
358,45,4,283,401,445,118,118,163
359,9,0,295,303,311,8,8,17
360,63,7,299,885,947,586,586,649
361,81,6,317,446,526,129,129,210
362,99,8,367,2331,2429,1964,1964,2063
363,83,9,427,2595,2677,2168,2168,2251
364,19,6,489,539,557,50,50,69
365,12,1,527,527,538,0,0,12
366,86,0,562,596,681,34,34,120
367,86,0,562,682,767,120,120,206
368,17,1,593,856,872,263,263,280
369,30,8,662,2430,2459,1768,1768,1798
370,12,0,681,768,779,87,87,99
371,30,8,688,2460,2489,1772,1772,1802
372,47,9,752,2678,2724,1926,1926,1973
373,76,0,761,780,855,19,19,95
374,12,2,817,873,884,56,56,68
375,95,7,871,2236,2330,1365,1365,1460
376,99,3,926,948,1046,22,22,121
377,24,1,953,1047,1070,94,94,118
378,54,4,971,1842,1895,871,871,925
379,90,8,999,2490,2579,1491,1491,1581
380,86,1,1000,1071,1156,71,71,157
381,45,5,1016,1959,2003,943,943,988
382,49,2,1019,1443,1491,424,424,473
383,48,0,1085,1157,1204,72,72,120
384,66,1,1093,1303,1368,210,210,276
385,74,1,1139,1369,1442,230,230,304
386,98,0,1141,1205,1302,64,64,162
387,4,3,1177,1677,1680,500,500,504
388,7,3,1210,1681,1687,471,471,478
389,38,9,1258,2725,2762,1467,1467,1505
390,74,2,1299,1524,1597,225,225,299
391,90,5,1318,2004,2093,686,686,776
392,49,5,1332,2094,2142,762,762,811
393,63,4,1374,1896,1958,522,522,585
394,75,3,1389,1688,1762,299,299,374
395,15,8,1389,2580,2594,1191,1191,1206
396,79,2,1454,1598,1676,144,144,223
397,32,0,1491,1492,1523,1,1,33
398,93,6,1540,2143,2235,603,603,696
399,50,3,1592,1763,1812,171,171,221
400,29,3,1594,1813,1841,219,219,248
,,,,,,,,
,,,,,Min,0,0,12
,,,,,Mean,494.34,494.34,548.90
,,,,,Max,2168,2168,2251
,,,,,StdDev,621.42,621.42,624.73
