Round Robin,,Preemptive
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
351,92,9,35,35,196,70,0,162
352,44,3,96,105,240,101,9,145
353,32,1,124,135,242,87,11,119
354,76,7,140,145,509,294,5,370
355,38,7,206,227,369,126,21,164
356,24,3,263,263,373,87,0,111
357,89,3,278,303,1252,886,25,975
358,45,4,283,313,633,306,30,351
359,9,0,295,323,331,28,28,37
360,63,7,299,332,867,506,33,569
361,81,6,317,342,1253,856,25,937
362,99,8,367,414,1815,1350,47,1449
363,83,9,427,484,1818,1309,57,1392
364,19,6,489,494,578,71,5,90
365,12,1,527,579,675,137,52,149
366,86,0,562,589,2068,1421,27,1507
367,86,0,562,599,2074,1427,37,1513
368,17,1,593,609,702,93,16,110
369,30,8,662,703,927,236,41,266
370,12,0,681,713,814,122,32,134
371,30,8,688,723,937,220,35,250
372,47,9,752,825,1571,773,73,820
373,76,0,761,835,2271,1435,74,1511
374,12,2,817,845,959,131,28,143
375,95,7,871,960,2664,1699,89,1794
376,99,3,926,970,2673,1649,44,1748
377,24,1,953,980,1337,361,27,385
378,54,4,971,990,2108,1084,19,1138
379,90,8,999,1000,2586,1498,1,1588
380,86,1,1000,1010,2592,1507,10,1593
381,45,5,1016,1020,1903,843,4,888
382,49,2,1019,1030,1912,845,11,894
383,48,0,1085,1200,2136,1004,115,1052
384,66,1,1093,1210,2466,1308,117,1374
385,74,1,1139,1220,2596,1384,81,1458
386,98,0,1141,1230,2719,1481,89,1579
387,4,3,1177,1240,1243,63,63,67
388,7,3,1210,1428,1434,218,218,225
389,38,9,1258,1435,2174,879,177,917
390,74,2,1299,1445,2687,1315,146,1389
391,90,5,1318,1455,2729,1322,137,1412
392,49,5,1332,1465,2370,990,133,1039
393,63,4,1374,1475,2629,1193,101,1256
394,75,3,1389,1485,2702,1239,96,1314
395,15,8,1389,1495,1756,353,106,368
396,79,2,1454,1505,2711,1179,51,1258
397,32,0,1491,1515,2236,714,24,746
398,93,6,1540,1777,2762,1130,237,1223
399,50,3,1592,1787,2556,915,195,965
400,29,3,1594,1797,2265,643,203,672
,,,,,,,,
,,,,,Min,28,0,37
,,,,,Mean,777.76,64.10,832.32
,,,,,Max,1699,237,1794
,,,,,StdDev,546.65,61.90,571.03
