First come first serve,Priority,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
401,14,0,30,30,43,0,0,14
402,27,4,59,59,85,0,0,27
403,81,1,125,125,205,0,0,81
404,49,5,143,206,254,63,63,112
405,32,9,204,255,286,51,51,83
406,10,5,231,287,296,56,56,66
407,50,4,289,297,346,8,8,58
408,69,5,354,354,422,0,0,69
409,77,6,379,423,499,44,44,121
410,66,6,394,500,565,106,106,172
411,24,4,403,566,589,163,163,187
412,85,7,459,590,674,131,131,216
413,35,4,494,675,709,181,181,216
414,61,2,495,710,770,215,215,276
415,55,2,505,771,825,266,266,321
416,92,8,563,826,917,263,263,355
417,29,4,595,918,946,323,323,352
418,36,6,638,947,982,309,309,345
419,62,7,671,983,1044,312,312,374
420,73,6,689,1045,1117,356,356,429
421,92,6,726,1118,1209,392,392,484
422,98,0,779,1210,1307,431,431,529
423,31,5,811,1308,1338,497,497,528
424,30,0,820,1339,1368,519,519,549
425,39,8,845,1369,1407,524,524,563
426,75,8,910,1408,1482,498,498,573
427,48,1,939,1483,1530,544,544,592
428,66,6,993,1531,1596,538,538,604
429,24,4,1017,1597,1620,580,580,604
430,4,5,1073,1621,1624,548,548,552
431,50,7,1110,1625,1674,515,515,565
432,28,1,1115,1675,1702,560,560,588
433,36,3,1174,1703,1738,529,529,565
434,54,0,1178,1739,1792,561,561,615
435,19,8,1234,1793,1811,559,559,578
436,15,3,1263,1812,1826,549,549,564
437,11,2,1295,1827,1837,532,532,543
438,2,7,1305,1838,1839,533,533,535
439,15,3,1356,1840,1854,484,484,499
440,86,1,1380,1855,1940,475,475,561
441,63,4,1384,1941,2003,557,557,620
442,96,2,1448,2004,2099,556,556,652
443,14,7,1499,2100,2113,601,601,615
444,41,3,1538,2114,2154,576,576,617
445,50,1,1577,2155,2204,578,578,628
446,46,1,1607,2205,2250,598,598,644
447,25,1,1658,2251,2275,593,593,618
448,99,0,1721,2276,2374,555,555,654
449,82,2,1752,2375,2456,623,623,705
450,37,7,1792,2457,2493,665,665,702
,,,,,,,,
,,,,,Min,0,0,14
,,,,,Mean,382.34,382.34,430.40
,,,,,Max,665,665,705
,,,,,StdDev,217.08,217.08,215.83
