Priority Weighted,Priority,Preemptive
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
401,14,0,30,30,43,0,0,14
402,27,4,59,59,85,0,0,27
403,81,1,125,125,205,0,0,81
404,49,5,143,206,254,63,63,112
405,32,9,204,265,346,111,61,143
406,10,5,231,255,264,24,24,34
407,50,4,289,289,338,0,0,50
408,69,5,354,354,446,24,0,93
409,77,6,379,447,703,248,68,325
410,66,6,394,704,769,310,310,376
411,24,4,403,403,426,0,0,24
412,85,7,459,2019,2103,1560,1560,1645
413,35,4,494,494,644,116,0,151
414,61,2,495,495,555,0,0,61
415,55,2,505,556,610,51,51,106
416,92,8,563,2269,2360,1706,1706,1798
417,29,4,595,645,673,50,50,79
418,36,6,638,770,1012,339,132,375
419,62,7,671,2104,2165,1433,1433,1495
420,73,6,689,1013,1113,352,324,425
421,92,6,726,1114,1349,532,388,624
422,98,0,779,779,876,0,0,98
423,31,5,811,907,937,96,96,127
424,30,0,820,877,906,57,57,87
425,39,8,845,2361,2399,1516,1516,1555
426,75,8,910,2400,2474,1490,1490,1565
427,48,1,939,939,986,0,0,48
428,66,6,993,1350,2018,960,357,1026
429,24,4,1017,1017,1040,0,0,24
430,4,5,1073,1073,1076,0,0,4
431,50,7,1110,2166,2215,1056,1056,1106
432,28,1,1115,1115,1142,0,0,28
433,36,3,1174,1174,1263,54,0,90
434,54,0,1178,1178,1231,0,0,54
435,19,8,1234,2475,2493,1241,1241,1260
436,15,3,1263,1264,1278,1,1,16
437,11,2,1295,1295,1305,0,0,11
438,2,7,1305,2216,2217,911,911,913
439,15,3,1356,1356,1370,0,0,15
440,86,1,1380,1380,1465,0,0,86
441,63,4,1384,1905,1967,521,521,584
442,96,2,1448,1466,1561,18,18,114
443,14,7,1499,2218,2231,719,719,733
444,41,3,1538,1562,1904,326,24,367
445,50,1,1577,1577,1626,0,0,50
446,46,1,1607,1627,1672,20,20,66
447,25,1,1658,1673,1697,15,15,40
448,99,0,1721,1721,1819,0,0,99
449,82,2,1752,1820,1901,68,68,150
450,37,7,1792,2232,2268,440,440,477
,,,,,,,,
,,,,,Min,0,0,4
,,,,,Mean,328.56,294.40,376.62
,,,,,Max,1706,1706,1798
,,,,,StdDev,510.10,506.74,516.10
