,,PID,Burst,Priority,Arrival,Start,Finish,Wait,Response,Turnaround
jim_fcfs.csv,0,101,7,5,70,70,76,0,0,7
jim_fcfs.csv,1,102,24,4,140,140,163,0,0,24
jim_fcfs.csv,2,103,37,8,235,235,271,0,0,37
jim_fcfs.csv,3,104,13,3,260,272,284,12,12,25
jim_fcfs.csv,4,105,3,0,305,305,307,0,0,3
jim_fcfs.csv,5,106,56,6,360,360,415,0,0,56
jim_fcfs.csv,6,107,25,1,455,455,479,0,0,25
jim_fcfs.csv,7,108,20,1,465,480,499,15,15,35
jim_fcfs.csv,8,109,15,2,510,510,524,0,0,15
jim_fcfs.csv,9,110,17,5,570,570,586,0,0,17
jim_fcfs.csv,10,111,29,7,585,587,615,2,2,31
jim_fcfs.csv,11,112,6,0,655,655,660,0,0,6
jim_fcfs.csv,12,113,14,1,675,675,688,0,0,14
jim_fcfs.csv,13,114,26,0,715,715,740,0,0,26
jim_fcfs.csv,14,115,48,9,740,741,788,1,1,49
jim_fcfs.csv,15,116,8,2,755,789,796,34,34,42
jim_fcfs.csv,16,117,28,2,775,797,824,22,22,50
jim_fcfs.csv,17,118,59,0,790,825,883,35,35,94
jim_fcfs.csv,18,119,33,9,840,884,916,44,44,77
jim_fcfs.csv,19,120,96,0,925,925,1020,0,0,96
jim_fcfs.csv,20,121,28,0,1000,1021,1048,21,21,49
jim_fcfs.csv,21,122,65,4,1050,1050,1114,0,0,65
jim_fcfs.csv,22,123,37,2,1050,1115,1151,65,65,102
jim_fcfs.csv,23,124,99,8,1055,1152,1250,97,97,196
jim_fcfs.csv,24,125,22,7,1095,1251,1272,156,156,178
jim_fcfs.csv,25,126,13,3,1165,1273,1285,108,108,121
jim_fcfs.csv,26,127,23,8,1220,1286,1308,66,66,89
jim_fcfs.csv,27,128,56,4,1275,1309,1364,34,34,90
jim_fcfs.csv,28,129,30,6,1300,1365,1394,65,65,95
jim_fcfs.csv,29,130,7,1,1310,1395,1401,85,85,92
jim_fcfs.csv,30,131,99,7,1320,1402,1500,82,82,181
jim_fcfs.csv,31,132,29,6,1365,1501,1529,136,136,165
jim_fcfs.csv,32,133,32,2,1400,1530,1561,130,130,162
jim_fcfs.csv,33,134,4,2,1420,1562,1565,142,142,146
jim_fcfs.csv,34,135,21,2,1510,1566,1586,56,56,77
jim_fcfs.csv,35,136,19,3,1520,1587,1605,67,67,86
jim_fcfs.csv,36,137,44,2,1590,1606,1649,16,16,60
jim_fcfs.csv,37,138,36,1,1655,1655,1690,0,0,36
jim_fcfs.csv,38,139,9,1,1670,1691,1699,21,21,30
jim_fcfs.csv,39,140,39,8,1700,1700,1738,0,0,39
jim_fcfs.csv,40,141,21,0,1705,1739,1759,34,34,55
